012,1577880000,320
012,1580558400,612
012,1580558400,994
012,1583064000,156
012,1583064000,204
012,1588334400,293
012,1588334400,347
024,1591012800,472
024,1591012800,528
024,1596283200,693
032,1596283200,747
032,1598961600,956
032,1598961600,1004
051,1604232000,1261
051,1604232000,1299
070,1606824000,1608
070,1606824000,1632
076,1580558400,1997
076,1580558400,2003
076,1583064000,2428
076,1583064000,2412
076,1588334400,2901
076,1588334400,2859
096,1591012800,3416
096,1591012800,3344
120,1596283200,3973
120,1596283200,3867
120,1598961600,4572
120,1598961600,4428
152,1604232000,5213
158,1604232000,5027
158,1606824000,5896
158,1606824000,5664
208,1580558400,6621
208,1580558400,6339
208,1583064000,7388
300,1583064000,7052
300,1588334400,8197
